barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
8.0392682927,0,0,0,38,0,0,0,0,0,0,-1,-1,0,216.756097561,41,0,0,0,0,0,0,4,1.3,,26011,,-1,800,0,Regular,Regular Gasoline,-1,-1,47,0,0,0,0,0,0,0,0,26572,0,0,Honda,Civic CRX,N,false,0,0,0,0,0,0,0,Manual 5-spd,51,0,67,0,Two Seaters,1984,2750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
8.4515384615,0,0,0,36,0,0,0,0,0,0,-1,-1,0,227.8717948718,39,0,0,0,0,0,0,4,1.3,,26015,CA model,-1,850,0,Regular,Regular Gasoline,-1,-1,45,0,0,0,0,0,0,0,0,27692,0,0,Honda,Civic CRX,N,false,0,0,0,0,0,0,0,Manual 5-spd,48,0,64,0,Two Seaters,1984,2500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.1558333333,0,0,0,33,0,0,0,0,0,0,-1,-1,0,246.8611111111,36,0,0,0,0,0,0,4,1.3,,57011,(FFS),-1,900,0,Regular,Regular Gasoline,-1,-1,40,0,0,0,0,0,0,10,73,26596,0,0,Toyota,Starlet,N,false,0,0,0,0,0,0,0,Manual 5-spd,44,0,57,0,Minicompact Cars,1984,2250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.3215853659,0,0,0,37,0,0,0,0,0,0,-1,-1,0,248.2926829268,41,0,0,0,0,0,0,4,1.7,,38020,(DIESEL),-1,850,0,Diesel,Diesel,-1,-1,46,0,0,0,0,0,0,16,82,26645,11,11,Nissan,Sentra,N,false,84,84,0,0,0,0,0,Manual 4-spd,50,0,66,0,Subcompact Cars,1984,2500,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.4174285714,0,0,0,32,0,0,0,0,0,0,-1,-1,0,253.9142857143,35,0,0,0,0,0,0,4,1.3,,26011,,-1,950,0,Regular,Regular Gasoline,-1,-1,39,0,0,0,0,0,0,15,70,26684,0,12,Honda,Civic,N,false,0,84,0,0,0,0,0,Manual 4-spd,42,0,55,0,Subcompact Cars,1984,2000,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.554625,0,0,0,38,0,0,0,0,0,0,-1,-1,0,254.5,40,0,0,0,0,0,0,4,1.7,,38026,(DIESEL) CA model,-1,850,0,Diesel,Diesel,-1,-1,44,0,0,0,0,0,0,16,82,27759,11,11,Nissan,Sentra,N,false,84,84,0,0,0,0,0,Manual 4-spd,51,0,63,0,Subcompact Cars,1984,2500,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.6944117647,0,0,0,32,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,1.3,,57010,(CAL)(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,38,0,0,0,0,0,0,10,73,26595,0,0,Toyota,Starlet,N,false,0,0,0,0,0,0,0,Manual 4-spd,42,0,54,0,Minicompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.6944117647,0,0,0,31,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,1.4,,49010,(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,26658,0,0,Dodge,Colt,N,false,0,0,0,0,0,0,0,Manual 4-spd,41,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.6944117647,0,0,0,31,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,1.4,,49011,(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,26716,0,0,Mitsubishi,Precis,N,false,0,0,0,0,0,0,0,Manual 4-spd,41,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.6944117647,0,0,0,31,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,1.4,,49010,(FFS),-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,26728,0,0,Plymouth,Colt,N,false,0,0,0,0,0,0,0,Manual 4-spd,41,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.6944117647,0,0,0,32,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,1.3,,57015,(FFS) CA model,-1,1000,0,Regular,Regular Gasoline,-1,-1,38,0,0,0,0,0,0,10,73,27713,0,0,Toyota,Starlet,N,false,0,0,0,0,0,0,0,Manual 4-spd,42,0,54,0,Minicompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.7996153846,0,0,0,35,0,0,0,0,0,0,-1,-1,0,261.0256410256,39,0,0,0,0,0,0,4,2,,3200,(DIESEL),-1,850,0,Diesel,Diesel,-1,-1,47,0,0,0,0,0,0,17,85,26834,0,0,Ford,Escort,N,false,0,0,0,0,0,0,0,Manual 5-spd,46,0,68,0,Compact Cars,1984,2500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.7996153846,0,0,0,35,0,0,0,0,0,0,-1,-1,0,261.0256410256,39,0,0,0,0,0,0,4,2,,3200,(DIESEL),-1,850,0,Diesel,Diesel,-1,-1,47,0,0,0,0,0,0,17,85,26859,0,0,Mercury,Lynx,N,false,0,0,0,0,0,0,0,Manual 5-spd,46,0,68,0,Compact Cars,1984,2500,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.9881818182,0,0,0,30,0,0,0,0,0,0,-1,-1,0,269.303030303,33,0,0,0,0,0,0,4,1.4,,49015,(FFS) CA model,-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,27772,0,0,Dodge,Colt,N,false,0,0,0,0,0,0,0,Manual 4-spd,39,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.9881818182,0,0,0,31,0,0,0,0,0,0,-1,-1,0,269.303030303,33,0,0,0,0,0,0,4,1.3,,26015,CA model,-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,15,70,27794,0,12,Honda,Civic,N,false,0,84,0,0,0,0,0,Manual 4-spd,40,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
9.9881818182,0,0,0,30,0,0,0,0,0,0,-1,-1,0,269.303030303,33,0,0,0,0,0,0,4,1.4,,49015,(FFS) CA model,-1,1000,0,Regular,Regular Gasoline,-1,-1,37,0,0,0,0,0,0,11,77,27828,0,0,Plymouth,Colt,N,false,0,0,0,0,0,0,0,Manual 4-spd,39,0,53,0,Subcompact Cars,1984,1750,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.0575,0,0,0,35,0,0,0,0,0,0,-1,-1,0,267.8947368421,38,0,0,0,0,0,0,4,1.6,,59002,(DIESEL),-1,900,0,Diesel,Diesel,-1,-1,43,0,0,0,0,0,0,14,79,26786,0,0,Volkswagen,Rabbit,N,false,0,0,0,0,0,0,0,Manual 4-spd,47,0,61,0,Subcompact Cars,1984,2250,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.0575,0,0,0,35,0,0,0,0,0,0,-1,-1,0,267.8947368421,38,0,0,0,0,0,0,4,1.8,,57040,(DIESEL),-1,900,0,Diesel,Diesel,-1,-1,41,0,0,0,0,0,0,20,85,26914,0,13,Toyota,Corolla,N,false,0,87,0,0,0,0,0,Manual 4-spd,47,0,59,0,Compact Cars,1984,2250,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.0575,0,0,0,35,0,0,0,0,0,0,-1,-1,0,267.8947368421,38,0,0,0,0,0,0,4,1.6,,59007,(DIESEL) CA model,-1,900,0,Diesel,Diesel,-1,-1,43,0,0,0,0,0,0,14,79,27880,0,0,Volkswagen,Rabbit,N,false,0,0,0,0,0,0,0,Manual 4-spd,47,0,61,0,Subcompact Cars,1984,2250,,,,,Diesel,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
