barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
0.0688888889,0,0,0,24,0,0,0,0,0,0,-1,-1,0,262.575,27,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,0,CNG,-1,1150,0,CNG,Natural Gas,-1,-1,31,0,0,0,0,0,0,13,86,16404,12,9,Honda,Civic CNG,Y,false,85,90,0,0,0,0,0,Automatic 4-spd,30.8,0,43.7,0,Subcompact Cars,2000,1000,,CLKUP,,,CNG,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
0.0845454545,0,0,0,19,0,0,0,0,0,0,-1,-1,0,322.2511363636,22,0,0,0,0,0,0,4,2.2,Front-Wheel Drive,0,,-1,1400,0,CNG,Natural Gas,-1,-1,28,0,0,0,0,0,0,0,0,16405,0,9,Toyota,Camry CNG,Y,false,0,97,0,0,0,0,0,Automatic 4-spd,24.4444,0,38.9,0,Compact Cars,2000,-250,,CLKUP,,,CNG,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
0.11625,0,0,0,14,0,0,0,0,0,0,-1,-1,0,443.0953125,16,0,0,0,0,0,0,8,4.6,Rear-Wheel Drive,0,NG,-1,1950,0,CNG,Natural Gas,-1,-1,21,0,0,0,0,0,0,0,0,16406,0,21,Ford,Crown Victoria CNG,N,false,0,111,0,0,0,0,0,Automatic 4-spd,16.7,0,29.3,0,Large Cars,2000,-3000,,CLKUP,,,CNG,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
0.1430769231,0,0,0,11,0,0,0,0,0,0,-1,-1,0,545.3480769231,13,0,0,0,0,0,0,8,5.4,Rear-Wheel Drive,0,NGV,-1,2400,0,CNG,Natural Gas,-1,-1,15,0,0,0,0,0,0,0,0,16407,0,0,Ford,F150 Pickup 2WD CNG,N,false,0,0,0,0,0,0,0,Automatic 4-spd,13.5,0,20.6,0,Standard Pickup Trucks 2WD,2000,-5250,,CLKUP,,,CNG,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
0.155,0,0,0,11,0,0,0,0,0,0,-1,-1,0,590.79375,12,0,0,0,0,0,0,8,5.4,Rear-Wheel Drive,0,NGV,-1,2600,0,CNG,Natural Gas,-1,-1,14,0,0,0,0,0,0,0,0,16408,0,0,Ford,E250 Econoline 2WD CNG,N,false,0,0,0,0,0,0,0,Automatic 4-spd,13,0,18.6,0,Vans - Cargo Type,2000,-6250,,CLKUP,,,CNG,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
0.24,0,0,0,81,0,0,0,0,41,0,0,-1,0,0,85,0,0,0,40,0,0,,,,0,,-1,800,0,Electricity,Electricity,-1,-1,91,0,0,0,0,37,0,0,0,16423,0,0,Nissan,Altra EV,N,false,0,0,90,0,0,0,0,,116.2069,0,129.6154,0,Midsize Station Wagons,2000,2750,,,,,EV,,,62 KW AC Induction,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,N,0,0,0
0.282,0,0,0,81,0,0,0,0,41,0,0,-1,0,0,72,0,0,0,47,0,0,,,2-Wheel Drive,0,,-1,900,0,Electricity,Electricity,-1,-1,64,0,0,0,0,53,0,0,0,16424,0,0,Toyota,RAV4 EV,N,false,0,0,88,0,0,0,0,,116.2069,0,91.0811,0,Sport Utility Vehicle - 2WD,2000,2250,,,,,EV,,,50 KW DC,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,N,0,0,0
0.348,0,0,0,62,0,0,0,0,54,0,0,-1,0,0,58,0,0,0,58,0,0,,,2-Wheel Drive,0,Lead Acid,-1,1150,0,Electricity,Electricity,-1,-1,54,0,0,0,0,63,0,0,0,30966,0,0,Ford,Ranger Pickup 2WD,N,false,0,0,50,0,0,0,0,Automatic (A1),88.6842,0,76.5909,0,Standard Pickup Trucks 2WD,2000,1000,,,,,EV,,,67 KW AC,,,0,,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014,N,0,0,0
0.36,0,0,0,59,0,0,0,0,57,0,0,-1,0,0,56,0,0,0,60,0,0,,,2-Wheel Drive,0,NiMH,-1,1150,0,Electricity,Electricity,-1,-1,52,0,0,0,0,64,0,0,0,30967,0,0,Ford,Ranger Pickup 2WD,N,false,0,0,65,0,0,0,0,Automatic (A1),84.25,0,74.8889,0,Standard Pickup Trucks 2WD,2000,1000,,,,,EV,,,67 KW AC,,,0,,Tue Jan 01 00:00:00 EST 2013,Fri Apr 11 00:00:00 EDT 2014,N,0,0,0
6.2190566038,0,0,0,49,0,0,0,0,0,0,-1,-1,0,167.679245283,53,0,0,0,0,0,0,3,1,Front-Wheel Drive,0,,-1,650,0,Regular,Regular Gasoline,-1,-1,61,0,0,0,0,0,0,0,0,15606,0,0,Honda,Insight,Y,false,0,0,0,0,0,0,0,Manual 5-spd,68.1881,0,89.2029,0,Two Seaters,2000,3500,,SIL,,,Hybrid,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
