barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
9.6944117647,0,0,0,33,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,2.4,Front-Wheel Drive,15,Hybrid,-1,1000,0,Regular,Regular Gasoline,-1,-1,34,0,0,0,0,0,0,0,0,26424,0,11,Toyota,Camry Hybrid,Y,false,0,101,0,0,0,0,0,Automatic (variable gear ratios),44.2454,0,48.2,0,Midsize Cars,2010,1750,,,,,Hybrid,,,245V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
9.6944117647,0,0,0,35,0,0,0,0,0,0,-1,-1,0,261.3823529412,34,0,0,0,0,0,0,4,2.5,Front-Wheel Drive,31,,-1,1000,0,Regular,Regular Gasoline,-1,-1,33,0,0,0,0,0,0,0,0,29862,0,10,Nissan,Altima Hybrid,Y,false,0,101,0,0,0,0,0,Automatic (variable gear ratios),46.8,0,46.6,0,Midsize Cars,2010,1750,,,,,Hybrid,,,245V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
10.3003125,0,0,0,34,0,0,0,0,0,0,-1,-1,0,277.71875,32,0,0,0,0,0,0,4,2.5,Front-Wheel Drive,7,,-1,1050,0,Regular,Regular Gasoline,-1,-1,31,0,0,0,0,0,0,0,0,29442,0,0,Ford,Escape Hybrid FWD,Y,false,0,0,0,0,0,0,0,Automatic (variable gear ratios),45.2,0,42.9,0,Sport Utility Vehicle - 2WD,2010,1500,,,,,Hybrid,,,330V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
10.3003125,0,0,0,34,0,0,0,0,0,0,-1,-1,0,277.71875,32,0,0,0,0,0,0,4,2.5,Front-Wheel Drive,10,,-1,1050,0,Regular,Regular Gasoline,-1,-1,31,0,0,0,0,0,0,0,0,29447,0,0,Mazda,Tribute Hybrid 2WD,N,false,0,0,0,0,0,0,0,Automatic (variable gear ratios),45.2,0,42.9,0,Sport Utility Vehicle - 2WD,2010,1500,,,,,Hybrid,,,330V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
10.3003125,0,0,0,34,0,0,0,0,0,0,-1,-1,0,277.71875,32,0,0,0,0,0,0,4,2.5,Front-Wheel Drive,8,,-1,1050,0,Regular,Regular Gasoline,-1,-1,31,0,0,0,0,0,0,0,0,29450,0,0,Mercury,Mariner Hybrid FWD,Y,false,0,0,0,0,0,0,0,Automatic (variable gear ratios),45.2,0,42.9,0,Sport Utility Vehicle - 2WD,2010,1500,,,,,Hybrid,,,330V Ni-MH,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,Y,0,0,0
10.3003125,0,0,0,29,0,0,0,0,0,0,-1,-1,0,277.71875,32,0,0,0,0,0,0,4,1.5,Front-Wheel Drive,42,,-1,1050,0,Regular,Regular Gasoline,-1,-1,36,0,0,0,0,0,0,13,84,29630,0,13,Toyota,Yaris,Y,false,0,87,0,0,0,0,0,Manual 5-spd,37.6789,0,50.6725,0,Subcompact Cars,2010,1500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.3003125,0,0,0,28,0,0,0,0,0,0,-1,-1,0,277.71875,32,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,11,,-1,1250,0,Premium,Premium Gasoline,-1,-1,37,0,0,0,0,0,0,0,0,29807,6,0,MINI,Cooper,Y,false,76,0,0,0,0,0,0,Manual 6-spd,37,0,52,0,Minicompact Cars,2010,500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.6325806452,0,0,0,29,0,0,0,0,0,0,-1,-1,0,286.6774193548,31,0,0,0,0,0,0,4,1.5,Front-Wheel Drive,41,,-1,1050,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,13,84,29629,0,13,Toyota,Yaris,Y,false,0,87,0,0,0,0,0,Automatic 4-spd,37.4596,0,48.8622,0,Subcompact Cars,2010,1500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.6325806452,0,0,0,28,0,0,0,0,0,0,-1,-1,0,286.6774193548,31,0,0,0,0,0,0,4,1.5,Front-Wheel Drive,14,,-1,1050,0,Regular,Regular Gasoline,-1,-1,35,0,0,0,0,0,0,21,91,29636,0,0,Honda,Fit,Y,false,0,0,0,0,0,0,0,Automatic 5-spd,36.5,0,49.3,0,Small Station Wagons,2010,1500,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
10.6325806452,0,0,0,28,0,0,0,0,0,0,-1,-1,0,286.6774193548,31,0,0,0,0,0,0,4,1.6,Front-Wheel Drive,15,,-1,1300,0,Premium,Premium Gasoline,-1,-1,36,0,0,0,0,0,0,0,0,29690,6,0,MINI,Cooper Convertible,N,false,74,0,0,0,0,0,0,Manual 6-spd,36.8043,0,51.6555,0,Minicompact Cars,2010,250,,,,,,,,,,,0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
